dataset_id,designation,role,n,source,paper_use,status
confirmatory_alpha025,MAIN,Primary confirmatory evidence,10 paired seeds; 70 verified arms,work/paper_data_snapshot/results/drd2_alpha025_confirmatory_final.json,"Primary contrasts, static comparators, quality endpoints",frozen_complete
confirmatory_seed_differences,MAIN_AND_SUPPLEMENT,Seed-level analysis units,10 differences per comparator-endpoint,work/paper_data_snapshot/results/drd2_alpha025_confirmatory_final.paired_differences.csv,Paired plots in main text; complete table in supplement,frozen_complete
temporal_placebo_development_audit,MAIN,Legacy shuffle versus temporal-preserving placebo qualification,10 historical real trajectories,outputs/temporal_placebo_frozen_audit.json,Demonstrate why iid history shuffle is inadequate,frozen_complete
confirmatory_frozen_placebo_audit,MAIN_AND_SUPPLEMENT,Audit exact three shifts and cyclic donor mapping used in confirmatory runs,10 seeds; 3 circular shifts per seed; 10 donor pairs,work/paper_data_snapshot/drd2_alpha025_confirmatory_temporal_audit.json,Compact qualification table in main text; per-seed details in supplement,frozen_complete
static_grid_development,MAIN_AND_SUPPLEMENT,Independent development selection of tuned static weights,7 candidates x 3 development seeds,work/paper_data_snapshot/drd2_static_grid_development_v1_selection.json,Selection rule and chosen 0.25/0.50/0.25 weights,frozen_complete
frozen_weight_rng_match,MAIN_AND_SUPPLEMENT,Compute/RNG matching qualification,30 steps; 6 validation events,work/paper_data_snapshot/rng_match_test_30steps_cadence5_seed1701_v1/rng_match_summary.json,Qualification statement in main text; hashes in supplement,passed
concurrent_worker_determinism,SUPPLEMENT,Execution amendment reproducibility check,5 concurrent GPU worker slots,work/paper_data_snapshot/multigpu_determinism_smoke_v1_summary.json,Disclose concurrent execution and exact parameter equivalence,passed
bindingdb_mpn_oracle,MAIN_AND_SUPPLEMENT,Untouched final evaluation oracle qualification,75 train; 25 validation; 25 scaffold-disjoint test,work/paper_data_snapshot/qsar_models/DRD2_bindingdb_mpn/bindingdb_drd2_mpn_report.json,Oracle gate and downstream generalization endpoint,passed_with_low_generated_ad_coverage
v5_end_to_end_positive_control,MAIN,End-to-end pipeline qualification,5 paired seeds,work/paper_data_snapshot/results/positive_control_v5_qualification/qualification_result.json,Show the complete pipeline detects a known molecular benefit,passed
controller_input_sensitivity_ladder,SUPPLEMENT,Controller-input positive control,Synthetic signal ladder,work/four_project_snapshot,Retain with narrowed label; not end-to-end evidence,legacy_complete
alpha025_two_seed_pilot,SUPPLEMENT,Exploratory finding that motivated the sole confirmatory follow-up,2 paired repeats,work/four_project_snapshot,Pilot-to-confirmatory chronology only,legacy_complete_not_confirmatory
legacy_activity_sa_gsk3b_docking,SUPPLEMENT_OR_ARCHIVE,Earlier portability and exploratory analyses,Mixed legacy designs,work/four_project_snapshot,Supporting context only; no primary efficacy claim,legacy_complete_design_not_compute_matched
